3dostr          3DO STR
pgmyuv_pipe     piped pgmyuv sequence
pictor_pipe     piped pictor sequence
pjs             PJS (Phoenix Japanimation Society) subtitles
pmp             Playstation Portable PMP
png_pipe        piped png sequence
ppm_pipe        piped ppm sequence
psd_pipe        piped psd sequence
psp             PSP MP4 (MPEG-4 Part 14)
psxstr          Sony Playstation STR
pva             TechnoTrend PVA
pvf             PVF (Portable Voice Format)
qcp             QCP
qdraw_pipe      piped qdraw sequence
r3d             REDCODE R3D
rawvideo        raw video
realtext        RealText subtitle format
redspark        RedSpark
rl2             RL2
rm              RealMedia
roq             raw id RoQ
rpl             RPL / ARMovie
rsd             GameCube RSD
rso             Lego Mindstorms RSO
rtp             RTP output
rtp_mpegts      RTP/mpegts output format
rtsp            RTSP output
s16be           PCM signed 16-bit big-endian
s16le           PCM signed 16-bit little-endian
s24be           PCM signed 24-bit big-endian
s24le           PCM signed 24-bit little-endian
s32be           PCM signed 32-bit big-endian
s32le           PCM signed 32-bit little-endian
s8              PCM signed 8-bit
sami            SAMI subtitle format
sap             SAP output
sbg             SBaGen binaural beats script
scc             Scenarist Closed Captions
sdp             SDP
sdr2            SDR2
sds             MIDI Sample Dump Standard
sdx             Sample Dump eXchange
segment         segment
sgi_pipe        piped sgi sequence
shn             raw Shorten
siff            Beam Software SIFF
singlejpeg      JPEG single image
sln             Asterisk raw pcm
smjpeg          Loki SDL MJPEG
smk             Smacker
smoothstreaming Smooth Streaming Muxer
smush           LucasArts Smush
sol             Sierra SOL
sox             SoX native
spdif           IEC 61937 (used on S/PDIF - IEC958)
spx             Ogg Speex
srt             SubRip subtitle
stl             Spruce subtitle format
stream_segment  streaming segment muxer
ssegment        streaming segment muxer
subviewer       SubViewer subtitle format
subviewer1      SubViewer v1 subtitle format
sunrast_pipe    piped sunrast sequence
sup             raw HDMV Presentation Graphic Stream subtitles
svag            Konami PS2 SVAG
svcd            MPEG-2 PS (SVCD)
swf             SWF (ShockWave Flash)
tak             raw TAK
tedcaptions     TED Talks captions
tee             Multiple muxer tee
thp             THP
tiertexseq      Tiertex Limited SEQ
tiff_pipe       piped tiff sequence
tmv             8088flex TMV
truehd          raw TrueHD
tta             TTA (True Audio)
tty             Tele-typewriter
txd             Renderware TeXture Dictionary
u16be           PCM unsigned 16-bit big-endian
u16le           PCM unsigned 16-bit little-endian
u24be           PCM unsigned 24-bit big-endian
u24le           PCM unsigned 24-bit little-endian
u32be           PCM unsigned 32-bit big-endian
u32le           PCM unsigned 32-bit little-endian
u8              PCM unsigned 8-bit
uncodedframecrc uncoded framecrc testing
v210            Uncompressed 4:2:2 10-bit
v210x           Uncompressed 4:2:2 10-bit
vag             Sony PS2 VAG
vc1             raw VC-1 video
vc1test         VC-1 test bitstream
vcd             MPEG-1 Systems / MPEG program stream (VCD)
vfwcap          VfW video capture
vivo            Vivo
vmd             Sierra VMD
vob             MPEG-2 PS (VOB)
vobsub          VobSub subtitle format
voc             Creative Voice
vpk             Sony PS2 VPK
vplayer         VPlayer subtitles
vqf             Nippon Telegraph and Telephone Corporation (NTT) TwinVQ
w64             Sony Wave64
wav             WAV / WAVE (Waveform Audio)
wc3movie        Wing Commander III movie
webm            WebM
webm_chunk      WebM Chunk Muxer
webm_dash_manifest WebM DASH Manifest
webp            WebP
webp_pipe       piped webp sequence
webvtt          WebVTT subtitle
wsaud           Westwood Studios audio
wsd             Wideband Single-bit Data (WSD)
wsvqa           Westwood Studios VQA
wtv             Windows Television (WTV)
wv              raw WavPack
wve             Psion 3 audio
xa              Maxis XA
xbin            eXtended BINary text (XBIN)
xmv             Microsoft XMV
xpm_pipe        piped xpm sequence
xvag            Sony PS3 XVAG
xwma            Microsoft xWMA
yop             Psygnosis YOP
yuv4mpegpipe    YUV4MPEG pipe
